question,answer
"Gibt es alternative diagnostische Verfahren zur Mammographie, die möglicherweise weniger Strahlenbelastung aufweisen?",Als alternative Bildgebungsverfahren stehen die Sonographie oder Magnetresonanztomographie (MRT) sowie die klinische Untersuchung zur Verfügung. Durch Ihre regelmässige Abtastung Ihrer Brust können Sie zu einer Früherkennung möglicher Krebsentwicklungen beitragen.
Welche Zielgruppe wird für eine Mammographie-Routine-Screening empfohlen und in welchem Intervall sollten diese Untersuchungen durchgeführt werden?,Nach Empfehlung der Schweizer Krebsliga sollte eine Mammografie alle 2 Jahre für Frauen ab 50 durchgeführt werden. In Absprache mit Ihrem Hausarzt oder Frauenarzt.
Wie hoch ist in meinem speziellen Fall das Risiko für eine falsch-positive oder falsch-negative Befundung bei einer Mammographie?,"Es besteht das Risiko eines falsch positiven Befundes, d.h. dass auf den Mammographiebildern der Verdacht auf eine bösartige Erkrankung geäussert wird, die sich in der anschliessenden Gewebeprobe (Biopsie) nicht bestätigt. Die Mammographie ist ein bildgebendes Verfahren, das Strahlung verwendet, hierdurch können DNA-Schäden entstehen."
"Gibt es spezielle Risikofaktoren in meiner Familiengeschichte, die eine Mammographie erforderlich machen oder dafür sprechen, dass andere bildgebende Verfahren bevorzugt werden sollten?",Als alternative Bildgebungsverfahren stehen die Sonographie oder Magnetresonanztomographie (MRT) sowie die klinische Untersuchung zur Verfügung. Durch Ihre regelmässige Abtastung Ihrer Brust können Sie zu einer Früherkennung möglicher Krebsentwicklungen beitragen.
"Können Sie mir erklären, wie die Mammographie-Bilder analysiert und interpretiert werden, insbesondere in Bezug auf die Detektion von mikrokalzifizierten Läsionen?","Zur Sicherung der Diagnose und zur genauen Gewebebestimmung wird eine Gewebebiopsie durchgeführt. Bei unklarem Befund in der Mammographie werden eventuell zusätzliche bildgebende Verfahren (Sonographie, MRT) durchgeführt."
"Welche Expertise und Erfahrung haben die Radiologen, die die Mammographie-Bilder auswerten?",Die Detektionsrate von Brustkrebs mit Mammographie liegt bei 80 bis 90 %.
"Gibt es zusätzliche Untersuchungen, die parallel zur Mammographie durchgeführt werden sollten, um eine umfassende Bewertung der Brustgesundheit vorzunehmen?",Eine frühere Krebserkennung verbessert möglicherweise die Therapiechancen.
"Wie genau ist die Mammographie bei Frauen mit dichtem Brustgewebe, und wie beeinflusst dies die Interpretation der Ergebnisse?",Die Detektionsrate von Brustkrebs mit Mammographie liegt bei 80 bis 90 %.
"Können Sie mir Empfehlungen geben, wie ich mich auf die Mammographie vorbereiten kann, um die bestmögliche Bildqualität zu erzielen?",Für die Mammografie ist keine spezielle Vorbereitung notwendig. Möglicherweise Entfernung von Schmuck im Brustbereich.
"Ist die Mammographie schmerzhaft und wenn ja, welche Maßnahmen können ergriffen werden, um während des Verfahrens eine möglichst geringe Unannehmlichkeit zu erfahren?","Es besteht das Risiko eines falsch positiven Befundes, d.h. dass auf den Mammographiebildern der Verdacht auf eine bösartige Erkrankung geäussert wird, die sich in der anschliessenden Gewebeprobe (Biopsie) nicht bestätigt. Die Mammographie ist ein bildgebendes Verfahren, das Strahlung verwendet, hierdurch können DNA-Schäden entstehen."
Was ist eine Mammographie und warum brauche ich diese Untersuchung?,Für die Mammografie ist keine spezielle Vorbereitung notwendig. Möglicherweise Entfernung von Schmuck im Brustbereich.
Tut eine Mammographie weh?,"Die Brust wird zusammengedrückt, um eine bessere Bildqualität zu erreichen, was schmerzhaft sein kann."
Wie läuft eine Mammographie ab?,"Die Aufnahme der Bilder selbst dauert nur wenige Sekunden, mit den Vor- und Nachbereitungen insgesamt etwa 15 Minuten."
Was muss ich während der Mammographie machen?,"Nein, Sie müssen nichts besonderes tun, nachdem Sie eine Mammographie hatten."
Gibt es Risiken oder Nebenwirkungen bei einer Mammographie?,"Es besteht das Risiko eines falsch positiven Befundes, d.h. dass auf den Mammographiebildern der Verdacht auf eine bösartige Erkrankung geäussert wird, die sich in der anschliessenden Gewebeprobe (Biopsie) nicht bestätigt. Die Mammographie ist ein bildgebendes Verfahren, das Strahlung verwendet, hierdurch können DNA-Schäden entstehen."
Wie lange dauert eine Mammographie?,"Die Aufnahme der Bilder selbst dauert nur wenige Sekunden, mit den Vor- und Nachbereitungen insgesamt etwa 15 Minuten."
"Sind bestimmte Vorbereitungen nötig, bevor ich zur Mammographie komme?",Benutzen Sie bitte vor der Untersuchung keine Kosmetika wie Bodylotion oder Deodorant.
Kann ich während der Mammographie Kleidung tragen?,Kann ich während der Mammographie eine Begleitperson mitbringen? Kann ich meine Mutter oder eine andere weibliche Bezugsperson zur Mammographie begleiten?
Wird die Mammographie von meiner Krankenversicherung übernommen?,"Die Kostenübernahme hängt von Ihrer Krankenkasse ab. Bitte kontaktieren Sie hierfür Ihren Vertreter. In manchen Kantonen gibt es Früherkennungsprogramme, hier werden die Kosten für das Screening vom Kanton getragen."
Kann ich nach der Mammographie sofort nach Hause gehen oder muss ich noch auf etwas achten?,Benutzen Sie bitte vor der Untersuchung keine Kosmetika wie Bodylotion oder Deodorant.
Was ist eine Mammographie und warum muss ich sie machen?,Für die Mammografie ist keine spezielle Vorbereitung notwendig. Möglicherweise Entfernung von Schmuck im Brustbereich.
Wie läuft eine Mammographie genau ab?,"Die Aufnahme der Bilder selbst dauert nur wenige Sekunden, mit den Vor- und Nachbereitungen insgesamt etwa 15 Minuten."
Tut eine Mammographie weh?,"Die Brust wird zusammengedrückt, um eine bessere Bildqualität zu erreichen, was schmerzhaft sein kann."
Muss ich mich auf die Mammographie irgendwie vorbereiten?,Benutzen Sie bitte vor der Untersuchung keine Kosmetika wie Bodylotion oder Deodorant.
Wie lange dauert die Untersuchung?,"Die Ergebnisse sollten Ihnen innerhalb einer Woche vorliegen. Wenn Sie hausärztlich oder von Ihrem Gynäkologen nicht informiert werden, kann unter dieser Adresse xyz die Kontaktinformation abgerufen werden."
Kann ich nach der Mammographie sofort wieder nach Hause gehen?,"Nein, Sie müssen nichts besonderes tun, nachdem Sie eine Mammographie hatten."
"Was passiert, wenn bei der Mammographie etwas Auffälliges gefunden wird?","Zur Sicherung der Diagnose und zur genauen Gewebebestimmung wird eine Gewebebiopsie durchgeführt. Bei unklarem Befund in der Mammographie werden eventuell zusätzliche bildgebende Verfahren (Sonographie, MRT) durchgeführt."
Wann bekomme ich die Ergebnisse und wie kann ich sie verstehen?,"Die Ergebnisse sollten Ihnen innerhalb einer Woche vorliegen. Wenn Sie hausärztlich oder von Ihrem Gynäkologen nicht informiert werden, kann unter dieser Adresse xyz die Kontaktinformation abgerufen werden."
Gibt es Risiken oder Nebenwirkungen bei einer Mammographie?,"Es besteht das Risiko eines falsch positiven Befundes, d.h. dass auf den Mammographiebildern der Verdacht auf eine bösartige Erkrankung geäussert wird, die sich in der anschliessenden Gewebeprobe (Biopsie) nicht bestätigt. Die Mammographie ist ein bildgebendes Verfahren, das Strahlung verwendet, hierdurch können DNA-Schäden entstehen."
"Kann ich jemanden mitbringen, der mir bei der Mammographie hilft?","Ja, Begleitpersonen dürfen gerne während der Untersuchung im Wartezimmer  Platz nehmen."
